ticker,id,text,created_at,author_id,lang,sentiment
NVDA,1940820350465724907,"this analyst is awesome quote

i followed his advice and made k in a week   

laes brfh ehld lzmh pre wulf airo wff aapl msft amzn nvda googl meta pre asti bgl gvh klto mnts hcti ipdn",2025-07-03 17:10:04+00:00,1929119115916267520,en,positive
NVDA,1940820340403589385,"follow this blogger 
his unique analysis gave me a new perspective
perfect trading strategy i made  in just half a month is this strategy worth learning from
nvda  lixt  arbk  ogen  btbt  gvh  coin lvlu  aapl bmnr  amd  qs  bmnr  goog  gpus",2025-07-03 17:10:02+00:00,1926560624034672641,en,positive
